Number,Query_Type,Query
1,shortest path,What's the quickest way to get from my apartment on 5th Avenue to JFK Airport?
2,shortest path,Find the shortest route from Berlin Hauptbahnhof to Munich city center.
3,shortest path,How do I get from the Eiffel Tower to Charles de Gaulle Airport in the least time?
4,shortest path,Calculate the fastest path between Tel Aviv and Jerusalem.
5,shortest path,I need directions from my office in downtown Chicago to O'Hare International Airport — shortest route please.
6,shortest path,What's the most efficient way to walk from Times Square to Central Park Zoo?
7,shortest path,Plan the shortest driving route from Los Angeles to San Diego avoiding highways.
8,shortest path,"How far is it, and what's the fastest path, from Sydney Opera House to Bondi Beach?"
9,shortest path,Get me the quickest route from Heathrow Airport to central London by public transit.
10,shortest path,What's the shortest path between Kyoto Station and Fushimi Inari Shrine?
11,shortest path,I'm at the Colosseum in Rome — what's the fastest way to reach Vatican City?
12,shortest path,Find the minimal-distance route connecting my house in Brooklyn to Newark Airport.
13,shortest path,What's the best route from Cape Town waterfront to Table Mountain cable car station?
14,shortest path,Calculate driving time and shortest path from Toronto to Niagara Falls.
15,shortest path,How do I get from Dubai Mall to Burj Al Arab in the shortest possible time?
16,shortest path,Show me the shortest bike route from my apartment near Golden Gate Park to the Ferry Building.
17,shortest path,What's the fastest way from Barcelona airport to Sagrada Familia?
18,shortest path,Plan a route from Mumbai's Chhatrapati Shivaji Terminus to Gateway of India — shortest path.
19,shortest path,I need the quickest driving directions from Denver to Boulder.
20,shortest path,What's the shortest walking path from my hotel in Amsterdam to the Anne Frank House?
21,shortest path,Find the optimal route between Singapore Changi Airport and Marina Bay Sands.
22,shortest path,"How long would it take, and what's the shortest route, from Boston Logan Airport to Harvard Square?"
23,shortest path,Calculate the fastest path from Cairo to the Giza Pyramids.
24,shortest path,What's the best driving route from Seattle to Portland avoiding tolls?
25,shortest path,Give me the shortest transit route from my flat in Prague Old Town to Prague Castle.
26,shortest path,I'm heading from Austin downtown to the airport — what's the quickest path?
27,shortest path,Find the shortest route between Machu Picchu and Cusco.
28,shortest path,What's the most direct way to drive from Vancouver to Whistler?
29,shortest path,Calculate the fastest path from my office in Frankfurt to Frankfurt Airport during rush hour.
30,shortest path,Show me the shortest possible route from Buenos Aires city center to Ezeiza International Airport.
31,get pois near location,What are the best coffee shops near the Eiffel Tower?
32,get pois near location,Show me all the hotels close to Times Square.
33,get pois near location,I need a list of vegetarian restaurants around the Colosseum.
34,get pois near location,Find pharmacies near Buckingham Palace.
35,get pois near location,What ATMs are located close to the Sagrada Familia?
36,get pois near location,List some good bars within walking distance of the Brandenburg Gate.
37,get pois near location,Are there any bookstores near Central Park?
38,get pois near location,Find parking garages close to the Sydney Opera House.
39,get pois near location,What are the top-rated sushi restaurants near Shibuya Crossing?
40,get pois near location,Show me pet-friendly parks around the Golden Gate Bridge.
41,get pois near location,I need gas stations near the Grand Canyon South Rim entrance.
42,get pois near location,Find rooftop bars close to the Burj Khalifa.
43,get pois near location,What museums are within a mile of the Louvre?
44,get pois near location,List budget hostels near La Sagrada Familia.
45,get pois near location,Are there any bike rental shops close to Central Park?
46,get pois near location,Find vegan-friendly cafes near Camden Market.
47,get pois near location,What grocery stores are near Notre-Dame Cathedral?
48,get pois near location,Show me the closest hospitals to the Vatican.
49,get pois near location,I want a list of ice cream shops around Piazza Navona.
50,get pois near location,Find electric vehicle charging stations near the Hollywood Sign.
51,get pois near location,What are some good breakfast spots near Machu Picchu's entrance?
52,get pois near location,List laundromats close to my hotel near Shinjuku Station.
53,get pois near location,Are there any craft breweries near Fisherman's Wharf?
54,get pois near location,Find souvenir shops close to the Great Wall at Badaling.
55,get pois near location,What spas are located near the Blue Lagoon in Iceland?
56,get pois near location,Show me dog parks near Millennium Park in Chicago.
57,get pois near location,I need currency exchange offices near Red Square.
58,get pois near location,Find rock climbing gyms close to Yosemite Valley.
59,get pois near location,What late-night diners are near the Las Vegas Strip?
60,get pois near location,List art galleries within walking distance of the Tate Modern.
61,describe location,"I'm at 48.8584° N, 2.2945° E — where am I exactly?"
62,describe location,"My GPS says 40.7580, -73.9855, what's around here?"
63,describe location,"Can you tell me what neighborhood I'm standing in? Coordinates: 51.5007, -0.1246."
64,describe location,"What is this place? My phone shows lat 35.6586, long 139.7454."
65,describe location,"I'm currently at coordinates -33.8568, 151.2153 — describe where I am."
66,describe location,"Where am I right now? 41.9028 N, 12.4964 E."
67,describe location,"Tell me about this location: 25.1972, 55.2744."
68,describe location,"What's the address for these coordinates: 34.0522, -118.2437?"
69,describe location,"I dropped a pin at 55.7558, 37.6173 — what's here?"
70,describe location,"Describe my surroundings based on GPS coordinates 19.4326, -99.1332."
71,describe location,"What city/district am I in at 22.3193, 114.1694?"
72,describe location,"My location is 37.8199, -122.4783 — can you identify it?"
73,describe location,"Give me details about this spot: -22.9519, -43.2105."
